asset_code,date,nav,daily_return,subscription_status_raw,redemption_status_raw,source_url
018043,2025-12-19,1.8317,1.18%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-18,1.8103,1.43%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-17,1.7847,-1.86%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-16,1.8186,0.17%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-15,1.8155,-0.47%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-12,1.8240,-1.87%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-11,1.8588,-0.41%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-10,1.8665,0.37%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-09,1.8596,0.16%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-12-08,1.8566,-0.22%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-12-05,1.8607,0.44%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-12-04,1.8526,-0.12%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-12-03,1.8548,0.14%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-12-02,1.8522,0.84%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-12-01,1.8368,-0.39%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-28,1.8439,0.75%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-27,1.8302,-0.02%,暂停申购,暂停赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-26,1.8306,0.79%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-25,1.8162,0.52%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-24,1.8068,2.45%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-21,1.7636,0.69%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-20,1.7515,-2.21%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-19,1.7910,0.55%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-18,1.7812,-1.09%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-17,1.8008,-0.81%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-14,1.8155,0.02%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-13,1.8152,-1.91%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-12,1.8505,-0.10%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=7&per=20
018043,2025-11-11,1.8524,-0.28%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-11-10,1.8576,2.12%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-11-07,1.8190,-0.31%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-11-06,1.8246,-1.86%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-11-05,1.8592,0.70%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
